star_name,has_planets,planet_count,planet_count_override,confirmed_exoplanet_count,distance_ly,planet_names,notes,hyg_id,nasa_hosts,match_method,controversial_planet_count,distance_pc,spectral_type,hyg_luminosity_solar,apparent_magnitude,hip,hd,hr,gliese,bayer_flamsteed,proper_name,ra_deg_j2000,dec_deg_j2000,x_ly,y_ly,z_ly,component,primary_hyg_id,archive_planet_count,solar_system_planet_count,x_pc,y_pc,z_pc,system_id,faction_owners
Gl 244B,Unknown,0,,0,8.60106983676824,,,118441,,,0,2.6371,DA2,0.002549177050509118,8.44,,,,Gl 244B,,,101.28838499999999,-16.71524,-1.6124486385922585,8.078286825181179,-2.473798278068183,2,32263,0,0,-0.494379,2.476814,-0.75847,hyg:32263,
Ross 154,Unknown,0,,0,9.686192105431845,,,92115,,,0,2.9698,M3.5Ve,0.0005465123745199,10.37,92403,,,Gl 729,,Ross 154,282.455535,-23.836232,1.9108947704581876,-8.651147887002868,-3.9142777049455115,1,92115,0,0,0.585883,-2.652454,-1.200123,hyg:92115,
Ross 248,Unknown,0,,0,10.33459098433273,,,119585,,,0,3.1686,dM6  e,0.0001060718149635,12.29,,,,Gl 905,,Ross 248,355.475685,44.174924,7.379774018844116,-0.5838916705160682,7.192641797129135,1,119585,0,0,2.262649,-0.179022,2.205274,hyg:119585,
Ran,Yes,1,,1,10.489515263748181,eps Eri b,,16496,eps Eri,catalog identifier,0,3.2161,K2V,0.2929543829769431,3.72,16537,22049,1084,Gl 144,18Eps Eri,Ran,53.23272,-9.458262,6.193611765927641,8.28902298395152,-1.7238114721998632,1,16496,1,0,1.89897,2.541426,-0.528523,hyg:16496,
Lacaille 9352,Yes,4,,4,10.684556777622795,GJ 887 b; GJ 887 c; GJ 887 d; GJ 887 e,,113687,GJ 887,catalog identifier,0,3.2759,M2/M3V,0.010734949358052354,7.35,114046,217987,,Gl 887,,Lacaille 9352,346.462965,-35.853073,8.419831260798599,-2.0265824376343162,-6.258200513406888,1,113687,4,0,2.581532,-0.621353,-1.918773,hyg:113687,
Ross 128,Yes,1,,1,10.943524941529889,Ross 128 b,,57375,Ross 128,catalog identifier,0,3.3553,M4.5V,0.0003496230040027,11.12,57548,,,Gl 447,,Ross 128,176.93499,0.804563,-10.925886404622968,0.5850332178380768,0.15365553110613495,1,57375,1,0,-3.349892,0.179372,0.047111,hyg:57375,
EZ Aqr,Unknown,0,,0,11.082467558437221,,,119518,,,0,3.3979,M5  e,8.67760744991e-05,12.66,,,,Gl 866A,,EZ Aqr,339.63843,-15.302542,10.012651808579863,-3.715782195030879,-2.9221948045893846,1,119518,0,0,3.069893,-1.139264,-0.895949,hyg:119518,
Struve 2398 B,Yes,1,,1,11.267072068224898,Gl 725 B c,Gl 725 B: Catalog distances differ by >20%; HYG controls selection.,91487,Gl 725 B,catalog identifier,0,3.4545,K5,0.0013702505971242452,9.7,91772,173740,,Gl 725B,,Struve 2398 B,280.698735,59.626847,1.0572913449530352,-5.598011081451542,9.720702711758053,2,91484,1,0,0.324167,-1.716358,2.980381,hyg:91484,
Gl 820A,Unknown,0,,0,11.371442109094255,,,103879,,,0,3.4865,K5V,0.08806432284180643,5.2,104214,201091,8085,Gl 820A,61    Cyg,,316.72191,38.749415,6.455795831719022,-6.078367671425207,7.116379912891405,1,103879,0,0,1.979356,-1.863636,2.181892,hyg:103879,
Gl 280B,Unknown,0,,0,11.40699315426538,,,118493,,,0,3.4974,DA,0.0005592422830409,10.7,,,,Gl 280B,,,114.82509,5.226824,-4.769299910693731,10.309871592465576,1.0391668350433159,2,37173,0,0,-1.462274,3.161021,0.31861,hyg:37173,
