nasa_host,planet_count,status,hyg_id,hyg_name,hyg_distance_ly,nasa_distance_ly,method,evidence,angular_separation_arcsec,distance_difference_percent,candidate_hyg_ids,notes
CoRoT-20,2,unmatched_other,,,,2752.958783319721,unassigned,CoRoT-20,,,,Position candidates require review; component identity is preserved.
CoRoT-21,1,unmatched_other,,,,,unassigned,CoRoT-21,,,,Position candidates require review; component identity is preserved.
CoRoT-22,1,unmatched_other,,,,2045.515815360773,unassigned,CoRoT-22,,,,Position candidates require review; component identity is preserved.
CoRoT-23,1,unmatched_other,,,,3460.4213206613317,unassigned,CoRoT-23,,,,Position candidates require review; component identity is preserved.
CoRoT-24,2,unmatched_other,,,,1929.3943602022807,unassigned,CoRoT-24,,,,Position candidates require review; component identity is preserved.
CoRoT-25,1,unmatched_other,,,,3599.0703968287194,unassigned,CoRoT-25,,,,Position candidates require review; component identity is preserved.
CoRoT-26,1,unmatched_other,,,,3408.921228619858,unassigned,CoRoT-26,,,,Position candidates require review; component identity is preserved.
CoRoT-27,1,unmatched_other,,,,3295.0926527967144,unassigned,CoRoT-27,,,,Position candidates require review; component identity is preserved.
CoRoT-28,1,unmatched_other,,,,2498.9547194814754,unassigned,CoRoT-28,,,,Position candidates require review; component identity is preserved.
CoRoT-29,1,unmatched_other,,,,2630.474017231975,unassigned,CoRoT-29,,,,Position candidates require review; component identity is preserved.
CoRoT-3,1,unmatched_other,,,,2507.3956465367846,unassigned,CoRoT-3,,,,Position candidates require review; component identity is preserved.
CoRoT-30,1,unmatched_other,,,,3366.6839777055397,unassigned,CoRoT-30,,,,Position candidates require review; component identity is preserved.
CoRoT-31,1,unmatched_other,,,,6541.914161691351,unassigned,CoRoT-31,,,,Position candidates require review; component identity is preserved.
CoRoT-32,1,unmatched_other,,,,1880.888383708247,unassigned,CoRoT-32,,,,Position candidates require review; component identity is preserved.
CoRoT-35,1,unmatched_other,,,,3663.421050152233,unassigned,CoRoT-35,,,,Position candidates require review; component identity is preserved.
CoRoT-36,1,unmatched_other,,,,3020.071071978402,unassigned,CoRoT-36,,,,Position candidates require review; component identity is preserved.
CoRoT-4,1,unmatched_other,,,,2369.2390664997497,unassigned,CoRoT-4,,,,Position candidates require review; component identity is preserved.
CoRoT-5,1,unmatched_other,,,,2878.238709564499,unassigned,CoRoT-5,,,,Position candidates require review; component identity is preserved.
CoRoT-6,1,unmatched_other,,,,2104.6675360234817,unassigned,CoRoT-6,,,,Position candidates require review; component identity is preserved.
CoRoT-7,3,unmatched_other,,,,521.5436173517356,unassigned,CoRoT-7,,,,Position candidates require review; component identity is preserved.
CoRoT-8,1,unmatched_other,,,,1050.3442141076687,unassigned,CoRoT-8,,,,Position candidates require review; component identity is preserved.
CoRoT-9,1,unmatched_other,,,,1346.9606086946067,unassigned,CoRoT-9,,,,Position candidates require review; component identity is preserved.
DE CVn,1,unmatched_other,,,,99.55108038859298,unassigned,DE CVn,,,,Position candidates require review; component identity is preserved.
DENIS-P J082303.1-491201,1,unmatched_other,,,,,unassigned,DENIS-P J082303.1-491201,,,,Position candidates require review; component identity is preserved.
DH Tau,1,unmatched_other,,,,439.80882909591975,unassigned,DH Tau,,,,Position candidates require review; component identity is preserved.
DMPP-1,4,unmatched_other,,,,203.97428474751868,unassigned,DMPP-1,,,,Position candidates require review; component identity is preserved.
DMPP-2,3,unmatched_other,,,,449.90010742247574,unassigned,DMPP-2,,,,Position candidates require review; component identity is preserved.
DMPP-3 A,1,unmatched_other,,,,152.94027016980212,unassigned,DMPP-3 A,,,,Position candidates require review; component identity is preserved.
DMPP-4,1,unmatched_other,,,,82.61019197360761,unassigned,DMPP-4,,,,Position candidates require review; component identity is preserved.
DMPP-6,2,unmatched_other,,,,178.18020761579004,unassigned,DMPP-6,,,,Position candidates require review; component identity is preserved.
DMPP-7,1,unmatched_other,,,,330.6769051118974,unassigned,DMPP-7,,,,Position candidates require review; component identity is preserved.
DMPP-8,1,unmatched_other,,,,248.31426582897677,unassigned,DMPP-8,,,,Position candidates require review; component identity is preserved.
DMPP-9,1,unmatched_other,,,,357.2684345871435,unassigned,DMPP-9,,,,Position candidates require review; component identity is preserved.
